field_key,component_name,lv2_scope,requiredness,source_file
skipPolicy,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
slideId,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
slug,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
sourceVersion,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
styleConstraints,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
subtitle,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
successCriteria,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
tags,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
targetedEdges,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
targetedNodes,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
targetedSlices,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
targetLanguage,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
targetNodeKeys,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
teacherNotes,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
teacherOverview,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
telemetryTags,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
textSubtype,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
timeExpectationActivity,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
title,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
topicCategory,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
type,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
version,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
visibility,activity_slides,ACT-001,required,lv2_central_brain/activity_001.md
vocabularyTheme,activity_slides,ACT-001,optional,lv2_central_brain/activity_001.md
activityId,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
aiInstructions,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
allowRetry,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
allowSkip,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
anecdoteOrMemoryHook,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
assessmentPlan,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
audienceNotes,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
audioId,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
audioPrompt,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
autoAdvance,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
body,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
buttons,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
cefrLevel,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
cefrMax,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
cefrMin,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
commonMisconceptions,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
competencyTags,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
coreTopics,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
correctStressIndex,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
culturalContext,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
defaultLang,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
delayMs,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
description,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
diagnosticChecks,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
differentiationPaths,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
differentiationStrategies,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
diffLog,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
discourseFocus,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
estimatedMinutes,activity_slides,ACT-002,required,lv2_central_brain/activity_002.md
exampleResponses,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
expansionGuidelines,activity_slides,ACT-002,optional,lv2_central_brain/activity_002.md
