field_key,requiredness_lv2_rollup
cefrLevel,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
cefrMax,component_payload: groups:required; lessons:required; modules:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
cefrMin,component_payload: groups:required; lessons:required; modules:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
changeImpactAssessment,component_payload: groups:optional; lessons:optional; modules:optional
choiceElements,activity_profiles: ACT-003:required; ACT-009:required; ACT-010:required; ACT-012:required; ACT-021:required
commonMisconceptions,component_payload: groups:required; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
competencyTags,component_payload: groups:required; lessons:optional; modules:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
coreTopics,component_payload: lessons:required; modules:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
correctAnswer,activity_profiles: ACT-009:required; ACT-010:required; ACT-011:required; ACT-021:required
correctCurveId,activity_profiles: ACT-004:required
correctOddIndex,activity_profiles: ACT-012:required
correctOrderClips,activity_profiles: ACT-025:required
correctOrderWords,activity_profiles: ACT-015:required
correctStressIndex,activity_profiles: ACT-002:required
culturalContext,component_payload: groups:required; lessons:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
defaultLang,component_payload: groups:required; lesson_ends:required; lessons:required; modules:optional; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
delayMs,activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
description,component_payload: groups:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
diagnosticChecks,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
differentiationPaths,component_payload: groups:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
