field_key,requiredness_lv2_rollup
maxScoreValue,component_payload: groups:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
maxWordCount,activity_profiles: ACT-022:required
metadata,component_payload: groups:optional; lesson_ends:optional; modules:optional; slides:optional; title_slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
minAttemptsBeforeSkip,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
minWordCount,activity_profiles: ACT-022:required
moduleAssessmentPlan,component_payload: modules:required
moduleGoal,component_payload: modules:required
moduleId,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
moduleMasteryRule,component_payload: modules:required
moduleMasteryThreshold,component_payload: modules:required
moduleOutcomes,component_payload: modules:required
note,activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
notesForTeacherOrAI,component_payload: groups:optional; lessons:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
optionalLessons,component_payload: modules:optional
orderIndex,component_payload: groups:required; lesson_ends:required; lessons:required; modules:optional; slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
ownerTeam,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
pacingNotes,component_payload: groups:optional; lessons:optional
passingScoreType,component_payload: groups:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
passingScoreValue,component_payload: groups:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
passRequiredForNext,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
passThreshold,activity_profiles: ACT-024:required
pedagogicalStrategy,component_payload: lessons:optional; modules:required
practiceProgression,component_payload: lessons:optional
prerequisiteEdges,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
prerequisiteModules,component_payload: modules:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
prerequisiteNodes,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
prerequisites,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
prerequisiteSlices,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
primaryCtaAction,component_payload: title_slides:optional
primaryCtaLabel,component_payload: title_slides:optional
priorLessons,component_payload: lessons:required | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
progressionNotes,component_payload: modules:optional
promptMode,activity_profiles: ACT-003:required
promptText,activity_profiles: ACT-010:required; ACT-020:required; ACT-022:required; ACT-026:required
pronunciationFocus,component_payload: groups:optional; lessons:optional; modules:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
propsJson,activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
publishNotes,component_payload: groups:optional; lessons:optional; modules:optional
purposeRelationshipTag,component_payload: groups:optional
recommendedNextStep,component_payload: lesson_ends:required
registerTone,component_payload: groups:optional; lessons:optional; modules:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
registerVariants,component_payload: groups:optional; lessons:optional; slides:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
remediationGuidance,component_payload: groups:optional; lessons:optional; modules:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
remediationPaths,component_payload: groups:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
requiredLessons,component_payload: modules:required
requiredScore,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
retryPolicy,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
reviewRequired,component_payload: groups:optional; lessons:optional; modules:optional
runtimeContractV1,activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
scaffoldingPlan,component_payload: lessons:required
sentenceCards,activity_profiles: ACT-016:required
sentenceTokens,activity_profiles: ACT-015:required
sentenceWithGaps,activity_profiles: ACT-017:required; ACT-018:required
sequenceType,component_payload: modules:optional
shortSummaryLessonAdmin,component_payload: lessons:required
shortSummaryLessonStudent,component_payload: lessons:required
shortSummaryTeacherActivity,activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
shortSummaryTeacherGroup,component_payload: groups:required
shortSummaryTeacherLesson,component_payload: lessons:required
shortSummaryTeacherModule,component_payload: modules:required
shortSummaryTeacherSlide,component_payload: slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
signatureMetaphors,component_payload: groups:optional; lessons:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
simplificationGuidelines,component_payload: groups:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
skipPolicy,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
slideId,component_payload: lesson_ends:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
slidePlan,component_payload: groups:required; lessons:optional
slug,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
sourceVersion,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
statement,activity_profiles: ACT-011:required
styleConstraints,component_payload: groups:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
subtitle,component_payload: title_slides:required | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
successCriteria,component_payload: groups:optional; lessons:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
syllableBreakdown,activity_profiles: ACT-002:required
tags,component_payload: groups:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetedEdges,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetedNodes,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetedSlices,component_payload: groups:required; lessons:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetKeywords,activity_profiles: ACT-022:required
targetLanguage,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetNodeKeys,component_payload: groups:required; lessons:required; slides:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
targetText,activity_profiles: ACT-005:required; ACT-020:required; ACT-026:required
teacherNotes,component_payload: groups:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
teacherOverview,component_payload: groups:required; lessons:required; modules:optional; slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
telemetryTags,component_payload: groups:required; lesson_ends:optional; lessons:optional; modules:optional; slides:optional | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
tenseBins,activity_profiles: ACT-016:required
textSubtype,component_payload: slides:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
timeExpectationActivity,activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
timeExpectationGroup,component_payload: groups:required
timeExpectationLesson,component_payload: lessons:required
title,component_payload: groups:required; lessons:required; modules:required; title_slides:required | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
topicCategory,component_payload: groups:optional; lessons:optional; modules:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
type,component_payload: slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
version,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
visibility,component_payload: groups:required; lesson_ends:required; lessons:required; modules:required; slides:required; title_slides:required | activity_profiles: ACT-001:required; ACT-002:required; ACT-003:required; ACT-004:required; ACT-005:required; ACT-009:required; ACT-010:required; ACT-011:required; ACT-012:required; ACT-013:required; ACT-014:required; ACT-015:required; ACT-016:required; ACT-017:required; ACT-018:required; ACT-019:required; ACT-020:required; ACT-021:required; ACT-022:required; ACT-023:required; ACT-024:required; ACT-025:required; ACT-026:required
vocabularyTheme,component_payload: groups:optional; lessons:optional; modules:optional | activity_profiles: ACT-001:optional; ACT-002:optional; ACT-003:optional; ACT-004:optional; ACT-005:optional; ACT-009:optional; ACT-010:optional; ACT-011:optional; ACT-012:optional; ACT-013:optional; ACT-014:optional; ACT-015:optional; ACT-016:optional; ACT-017:optional; ACT-018:optional; ACT-019:optional; ACT-020:optional; ACT-021:optional; ACT-022:optional; ACT-023:optional; ACT-024:optional; ACT-025:optional; ACT-026:optional
word,activity_profiles: ACT-024:required
wordAudio,activity_profiles: ACT-024:required
wordBank,activity_profiles: ACT-014:required; ACT-018:required
